Date,T2M,PRECTOT,RH2M,WS2M,ALLSKY_SFC_SW_DWN,TMAX,TMIN
2022-01-15,91.38,-0.02,5.51,1.22,0.04,-2.74,5.76
2022-01-16,95.81,0.44,2.25,2.73,0.54,-2.95,3.55
2022-01-17,97.06,2.33,3.43,1.02,0.26,0.1,5.07
2022-01-18,93.31,3.06,6.6,1.92,0.06,-0.0,8.26
2022-01-19,94.38,3.66,1.43,2.23,2.16,0.53,6.81
2022-01-20,93.19,2.29,4.82,2.75,0.17,-0.38,6.5
2022-01-21,92.5,1.71,4.38,2.35,0.11,-1.34,6.3
2022-01-22,92.62,2.7,2.75,1.28,0.1,-0.63,6.75
2022-01-23,92.75,1.53,2.89,1.66,0.13,-1.95,4.34
2022-01-24,93.19,-0.24,6.52,1.88,0.06,-2.28,5.51
2022-01-25,93.69,-0.02,2.92,0.77,0.16,-2.69,3.78
2022-01-26,92.25,0.14,2.18,1.07,0.2,-2.06,4.4
2022-01-27,94.94,2.49,2.98,3.19,0.7,-0.75,5.13
2022-01-28,96.06,3.24,2.95,1.95,0.28,0.84,6.2
2022-01-29,95.69,7.72,4.02,4.45,0.7,4.61,9.57
2022-01-30,85.5,5.01,7.46,1.71,0.08,2.13,9.12
2022-01-31,78.5,4.85,5.23,5.33,0.53,-0.77,8.51
2022-02-01,96.31,5.53,2.88,4.34,1.23,-0.63,9.17
2022-02-02,92.31,8.31,3.69,3.06,0.12,6.26,10.8
2022-02-03,93.0,5.81,4.22,3.18,0.22,4.7,6.99
2022-02-04,91.38,5.24,2.98,4.27,0.97,0.34,10.54
2022-02-05,89.56,3.9,9.12,3.81,0.11,0.12,9.4
2022-02-06,92.19,7.58,2.42,7.36,10.31,3.62,10.73
2022-02-07,79.94,4.94,9.43,2.84,0.01,0.75,9.86
2022-02-08,93.38,7.29,4.93,2.97,0.13,3.85,10.93
2022-02-09,87.12,5.52,9.91,1.99,0.07,1.39,11.93
2022-02-10,93.19,4.73,5.1,3.38,3.37,2.75,8.17
2022-02-11,85.44,2.49,9.5,1.73,0.0,-1.63,8.53
2022-02-12,79.62,0.92,10.62,2.66,0.02,-3.17,8.18
2022-02-13,87.75,4.77,8.86,5.58,0.08,-3.23,12.73
2022-02-14,85.69,8.24,6.57,4.59,3.53,4.92,11.53
2022-02-15,89.81,6.37,8.17,5.0,2.15,2.8,9.93
2022-02-16,91.0,11.54,4.49,7.17,3.96,8.23,13.62
2022-02-17,75.5,9.96,8.35,5.81,0.35,6.2,13.35
2022-02-18,81.19,8.9,4.12,7.62,2.23,4.54,11.8
2022-02-19,78.0,5.88,11.39,5.99,0.45,1.82,10.1
2022-02-20,83.75,9.82,4.62,7.51,2.44,7.12,12.92
2022-02-21,73.25,7.7,6.93,7.34,0.47,5.03,10.81
2022-02-22,89.94,7.86,4.46,4.34,0.71,4.23,13.04
2022-02-23,87.94,7.05,7.17,2.13,0.56,3.4,11.95
2022-02-24,82.69,6.65,7.3,4.42,1.44,0.72,11.62
2022-02-25,84.06,3.9,11.56,3.18,0.08,0.4,10.15
2022-02-26,79.19,3.3,13.97,3.02,0.02,-0.63,9.47
2022-02-27,76.19,1.97,12.97,3.48,0.0,-3.74,9.98
2022-02-28,75.69,2.47,14.44,2.01,0.02,-4.08,10.98
2022-03-01,80.12,4.48,8.86,1.43,0.55,0.31,8.62
2022-03-02,78.88,6.15,8.7,1.81,0.05,2.8,12.23
2022-03-03,91.19,8.33,5.81,1.3,0.12,4.12,12.65
2022-03-04,82.62,8.33,9.44,0.72,0.27,4.79,12.97
2022-03-05,72.75,6.18,12.27,0.96,0.09,0.67,12.39
2022-03-06,74.62,2.43,14.37,2.83,0.02,-2.43,8.52
2022-03-07,75.0,0.84,14.7,4.12,0.01,-3.49,6.5
2022-03-08,76.5,3.09,15.32,3.25,0.0,-4.07,12.24
2022-03-09,81.88,6.8,15.01,2.84,0.03,0.58,14.51
2022-03-10,80.5,8.58,15.0,2.88,0.0,2.74,16.4
2022-03-11,89.69,8.48,6.48,4.53,4.93,4.96,12.7
2022-03-12,89.94,7.56,6.41,4.62,1.72,5.98,10.64
2022-03-13,85.12,7.86,5.48,4.72,3.09,4.87,11.6
2022-03-14,78.94,7.83,16.28,2.59,0.1,3.24,14.25
2022-03-15,88.56,9.16,6.65,1.91,6.83,6.41,13.48
2022-03-16,88.5,11.19,5.85,2.4,0.12,7.06,16.97
2022-03-17,74.88,7.93,7.16,3.81,0.12,2.4,12.22
2022-03-18,68.5,6.95,14.88,4.81,0.02,-0.07,14.55
2022-03-19,70.88,7.7,16.47,4.73,0.0,2.09,15.09
2022-03-20,73.88,6.38,11.58,1.84,0.0,-0.68,12.94
2022-03-21,80.0,10.56,16.55,2.13,0.05,5.05,17.64
2022-03-22,70.94,9.69,17.48,2.35,0.0,3.61,17.22
2022-03-23,67.88,9.34,17.63,1.63,0.0,1.3,17.48
2022-03-24,68.62,10.52,17.15,2.16,0.0,2.97,19.26
2022-03-25,67.25,9.83,17.7,2.98,0.0,2.4,18.22
2022-03-26,71.94,10.19,17.37,3.45,0.0,3.98,18.15
2022-03-27,73.5,10.94,18.21,2.58,0.0,4.58,19.49
2022-03-28,66.94,12.55,16.35,1.0,0.49,6.24,20.34
2022-03-29,92.38,11.57,8.58,1.79,6.17,9.73,14.37
2022-03-30,87.19,10.27,8.03,1.84,3.7,7.19,13.51
2022-03-31,83.94,4.86,8.28,4.18,2.25,1.48,6.48
2022-04-01,82.69,1.9,5.36,5.66,2.52,-0.21,3.76
2022-04-02,71.19,2.57,11.22,4.55,0.02,-2.27,7.5
2022-04-03,70.81,3.12,17.36,2.84,0.01,-2.67,9.01
2022-04-04,74.19,4.96,17.11,4.25,0.72,-2.0,10.61
2022-04-05,89.44,9.83,5.2,3.87,1.2,6.5,14.01
2022-04-06,84.25,9.34,7.97,5.09,0.82,5.82,12.05
2022-04-07,76.25,10.8,11.13,7.17,3.43,5.68,14.75
2022-04-08,94.69,5.37,6.29,2.8,27.27,2.4,8.87
2022-04-09,80.75,5.37,13.3,1.85,2.05,1.19,10.01
2022-04-10,68.25,7.15,21.08,1.85,0.01,-0.3,13.9
2022-04-11,73.12,10.71,20.06,3.49,0.0,2.65,17.89
2022-04-12,77.81,13.86,17.31,3.1,1.31,8.23,20.41
2022-04-13,86.69,13.12,9.01,0.71,5.6,10.34,15.71
2022-04-14,76.94,14.76,20.06,0.84,0.01,10.2,20.43
2022-04-15,76.0,14.39,20.82,1.74,0.0,9.5,20.28
2022-04-16,73.88,12.55,23.92,3.23,0.01,6.82,18.77
2022-04-17,65.06,11.08,25.03,2.82,0.0,3.08,19.73
2022-04-18,71.69,10.69,21.0,1.49,0.0,3.54,17.29
2022-04-19,76.5,11.63,19.81,2.17,0.02,6.9,17.37
2022-04-20,72.94,11.54,21.11,2.84,0.03,7.27,17.74
2022-04-21,71.19,11.67,23.99,2.89,0.0,3.94,18.82
2022-04-22,75.0,12.56,23.11,2.93,0.01,6.98,18.36
2022-04-23,83.19,12.02,14.15,3.2,0.46,7.59,17.38
2022-04-24,76.0,13.26,13.83,2.55,0.22,8.69,18.39
2022-04-25,74.81,10.58,18.88,2.73,0.07,5.9,16.18
2022-04-26,76.56,10.4,16.34,2.69,0.05,5.69,16.07
2022-04-27,74.75,11.37,24.61,3.3,0.0,4.08,18.19
2022-04-28,72.5,13.24,21.94,3.02,0.0,6.47,20.56
2022-04-29,77.06,12.62,18.84,2.73,0.02,7.45,18.92
2022-04-30,71.44,11.15,24.92,3.16,0.01,5.66,16.6
2022-05-01,71.44,10.07,20.96,2.36,0.0,3.43,16.39
2022-05-02,72.12,12.41,19.05,2.82,0.01,5.88,17.2
2022-05-03,71.0,13.14,21.75,3.26,0.01,7.24,19.12
2022-05-04,78.12,12.29,11.26,2.26,0.13,7.15,18.03
2022-05-05,79.44,13.05,14.78,2.31,0.55,7.07,18.55
2022-05-06,74.19,14.34,25.14,1.86,0.04,7.28,21.12
2022-05-07,77.56,14.66,19.9,1.54,0.34,9.07,20.05
2022-05-08,79.31,15.1,23.37,2.65,0.13,9.14,20.62
2022-05-09,71.75,17.24,25.39,1.24,0.01,8.26,24.03
2022-05-10,69.75,18.76,22.83,2.66,0.0,13.39,25.63
2022-05-11,70.12,17.51,27.6,3.21,0.0,10.21,24.05
2022-05-12,70.19,15.24,20.26,2.02,0.0,9.51,21.08
2022-05-13,69.44,14.23,28.35,1.72,0.0,6.75,20.71
2022-05-14,67.31,15.9,25.33,0.98,0.0,8.33,22.44
2022-05-15,65.62,19.38,23.9,2.59,2.77,11.82,26.23
2022-05-16,75.5,18.73,20.9,2.36,1.84,14.58,23.15
2022-05-17,68.12,20.79,26.04,1.79,0.03,13.37,27.01
2022-05-18,72.25,21.08,25.66,2.12,1.19,13.98,26.79
2022-05-19,79.81,19.7,21.45,2.0,3.37,15.9,23.58
2022-05-20,81.88,17.47,15.22,3.16,4.34,11.83,23.5
2022-05-21,71.44,17.12,26.29,1.27,0.02,10.15,23.3
2022-05-22,75.0,16.79,15.42,1.99,1.57,11.87,21.23
2022-05-23,85.0,16.42,8.63,2.85,5.61,12.8,19.95
2022-05-24,73.94,13.62,20.82,3.16,1.21,9.55,17.98
2022-05-25,70.62,14.84,24.59,2.95,0.51,7.47,20.59
2022-05-26,76.06,16.58,18.53,2.81,0.13,11.54,22.01
2022-05-27,76.31,15.56,14.96,2.74,0.37,9.57,20.97
2022-05-28,68.56,14.2,24.77,2.58,0.01,8.06,20.2
2022-05-29,67.81,11.81,24.48,3.17,0.04,6.03,16.46
2022-05-30,67.69,12.8,24.77,1.86,0.02,7.06,18.44
2022-05-31,63.5,14.06,24.18,1.91,0.05,7.52,19.94
2022-06-01,64.62,15.12,28.71,2.03,0.0,8.33,21.44
2022-06-02,60.75,16.46,26.19,2.93,0.0,8.73,22.89
2022-06-03,78.62,18.01,12.29,1.95,7.41,12.37,24.4
2022-06-04,85.06,19.62,22.44,1.93,11.23,13.45,25.96
2022-06-05,86.44,17.96,14.58,2.31,3.0,12.73,22.29
2022-06-06,71.44,16.59,22.49,2.51,0.14,10.87,21.29
2022-06-07,76.38,17.59,19.97,2.96,1.55,13.19,21.89
2022-06-08,77.88,16.32,15.7,3.33,10.49,12.01,21.51
2022-06-09,70.12,16.52,22.69,2.49,0.08,10.07,21.23
2022-06-10,72.0,19.19,24.71,2.41,0.01,13.24,24.53
2022-06-11,74.25,19.89,27.45,1.66,0.23,13.69,25.41
2022-06-12,65.75,17.43,28.7,2.12,0.0,11.08,23.69
2022-06-13,68.38,16.62,30.32,1.89,0.01,8.74,22.43
2022-06-14,63.38,17.86,28.45,2.25,0.0,9.73,24.13
2022-06-15,59.56,20.91,28.1,1.86,0.0,13.15,28.19
2022-06-16,62.69,21.04,28.74,1.77,0.0,13.35,27.65
2022-06-17,53.25,24.11,27.97,1.48,0.0,14.75,30.55
2022-06-18,57.31,26.12,27.66,1.78,0.15,17.94,34.17
2022-06-19,78.12,20.29,24.2,3.73,5.73,14.22,26.59
2022-06-20,77.62,17.82,16.2,3.19,17.83,13.19,22.94
2022-06-21,70.56,19.25,24.39,2.57,1.58,12.26,25.4
2022-06-22,76.69,19.48,16.27,1.91,1.7,13.87,24.8
2022-06-23,73.44,21.51,22.58,2.01,0.94,16.13,26.53
2022-06-24,76.06,19.71,19.84,3.24,7.58,16.63,22.94
2022-06-25,83.88,16.86,10.02,2.21,4.65,13.87,20.39
2022-06-26,75.31,16.27,15.44,1.57,0.3,12.12,20.94
2022-06-27,69.38,17.51,21.95,2.18,0.73,12.8,22.65
2022-06-28,63.19,19.02,30.73,1.49,0.0,10.73,25.36
2022-06-29,64.31,19.51,28.7,2.21,0.11,11.96,25.58
2022-06-30,82.56,14.61,6.44,1.84,9.94,10.9,17.28
2022-07-01,68.44,16.22,23.62,1.96,0.23,8.76,21.81
2022-07-02,58.5,19.15,30.44,1.7,0.0,11.67,25.02
2022-07-03,69.06,18.05,27.98,2.11,0.0,10.65,24.16
2022-07-04,65.69,18.37,29.88,1.6,0.0,11.41,24.95
2022-07-05,66.12,18.23,29.8,2.26,0.01,9.59,25.16
2022-07-06,68.25,18.64,27.54,1.94,0.0,10.9,24.77
2022-07-07,72.0,18.46,16.77,3.06,0.05,12.44,23.24
2022-07-08,67.75,18.44,29.94,2.08,0.0,9.63,25.64
2022-07-09,64.81,20.91,28.01,2.43,0.0,14.64,28.11
2022-07-10,63.75,19.26,29.44,3.23,0.0,12.05,25.61
2022-07-11,62.31,21.95,29.64,2.59,0.0,14.08,28.6
2022-07-12,53.5,23.1,28.71,1.52,0.0,14.62,30.48
2022-07-13,53.81,25.31,24.27,1.85,0.0,16.93,33.83
2022-07-14,61.38,23.4,26.32,2.9,0.0,16.35,29.99
2022-07-15,55.19,19.84,28.97,2.7,0.0,13.42,25.9
2022-07-16,56.38,20.91,28.56,2.23,0.0,12.69,27.9
2022-07-17,48.88,22.52,26.52,2.41,0.0,14.0,30.26
2022-07-18,40.94,26.52,26.99,1.68,0.0,17.05,35.35
2022-07-19,44.25,28.47,27.27,3.34,0.05,19.07,38.21
2022-07-20,73.88,21.33,9.96,2.23,8.49,17.24,24.2
2022-07-21,71.5,21.74,19.38,1.95,0.33,14.8,27.72
2022-07-22,75.06,20.93,12.61,1.48,3.29,15.57,26.51
2022-07-23,70.38,22.26,19.06,1.48,0.58,17.07,27.61
2022-07-24,59.62,24.87,27.46,2.03,0.0,16.49,31.88
2022-07-25,60.31,22.51,20.71,3.38,0.0,17.01,27.52
2022-07-26,66.88,19.56,15.15,2.43,0.15,14.77,23.87
2022-07-27,60.0,19.1,22.44,2.57,0.01,13.56,24.47
2022-07-28,53.62,19.54,19.35,1.61,0.0,13.02,25.55
2022-07-29,58.88,21.31,22.14,1.49,0.34,15.05,28.28
2022-07-30,58.75,22.8,21.62,1.76,0.0,16.01,29.7
2022-07-31,67.12,22.77,26.27,2.3,0.0,16.14,29.36
2022-08-01,68.5,22.33,16.86,1.59,0.05,16.2,28.15
2022-08-02,58.25,24.44,24.77,0.95,0.0,16.91,31.08
2022-08-03,47.25,27.11,26.06,1.27,0.0,18.75,34.29
2022-08-04,66.44,23.69,18.39,2.29,5.08,18.17,29.96
2022-08-05,62.75,20.48,21.74,3.12,1.13,14.44,26.44
2022-08-06,51.88,18.14,27.28,3.63,0.0,11.08,24.33
2022-08-07,52.0,19.51,26.71,3.74,0.0,11.69,26.36
2022-08-08,53.12,20.6,25.66,3.88,0.0,12.69,27.75
2022-08-09,55.19,22.08,25.54,3.78,0.0,13.53,29.88
2022-08-10,51.19,23.83,25.27,3.16,0.0,15.13,32.02
2022-08-11,42.12,24.27,25.33,2.84,0.0,15.92,32.19
2022-08-12,39.75,25.01,25.13,2.48,0.0,16.14,33.51
2022-08-13,38.0,24.79,25.7,2.41,0.0,16.6,32.72
2022-08-14,63.56,21.72,12.19,1.92,3.07,17.02,28.07
2022-08-15,72.25,21.15,12.89,2.07,1.8,16.41,26.41
2022-08-16,72.75,21.12,13.96,1.35,8.74,16.57,25.15
2022-08-17,72.31,20.78,15.4,1.17,2.17,16.58,24.55
2022-08-18,65.06,22.06,17.68,1.57,0.15,15.95,28.36
2022-08-19,78.69,20.59,12.25,2.46,1.76,15.01,26.65
2022-08-20,61.94,19.69,23.8,1.6,0.07,12.17,25.95
2022-08-21,56.25,20.51,16.66,1.19,0.01,12.96,26.4
2022-08-22,64.75,21.31,14.01,1.33,0.03,14.58,26.96
2022-08-23,67.12,23.8,17.16,1.27,0.36,17.3,28.91
2022-08-24,54.94,25.75,21.81,1.15,0.0,18.83,32.29
2022-08-25,56.19,24.37,19.53,2.59,0.12,18.53,32.15
2022-08-26,65.94,21.87,14.26,2.62,0.1,17.06,27.49
2022-08-27,62.44,19.57,18.85,2.6,0.0,13.8,25.73
2022-08-28,62.75,19.96,17.46,2.9,0.0,12.88,26.78
2022-08-29,53.06,21.56,19.94,3.32,0.0,14.9,29.2
2022-08-30,62.56,20.19,10.0,1.91,0.52,14.68,27.01
2022-08-31,63.75,20.81,19.19,2.36,0.0,14.05,27.44
2022-09-01,58.44,22.21,17.3,2.46,0.04,16.4,28.71
2022-09-02,66.69,20.47,11.98,1.69,3.75,16.46,25.99
2022-09-03,71.69,20.23,13.65,1.9,0.95,16.0,25.37
2022-09-04,58.25,21.49,18.05,1.95,0.1,13.8,28.8
2022-09-05,60.0,23.33,17.28,1.84,2.83,16.24,30.57
2022-09-06,74.06,20.47,17.93,1.79,9.96,14.94,27.7
2022-09-07,80.94,18.27,11.82,2.68,5.1,14.51,23.26
2022-09-08,76.94,17.73,13.35,3.86,3.5,13.6,22.47
2022-09-09,79.06,16.8,11.65,4.43,4.87,13.27,21.16
2022-09-10,84.06,16.63,8.68,3.01,4.41,12.62,20.96
2022-09-11,74.5,17.76,15.31,0.99,0.17,12.09,24.2
2022-09-12,65.12,19.72,18.11,1.97,0.14,12.09,27.36
2022-09-13,69.19,21.59,8.73,1.51,1.36,17.05,27.44
2022-09-14,82.5,21.31,12.56,2.0,3.07,17.54,26.62
2022-09-15,73.06,17.92,12.71,2.52,0.31,12.87,23.14
2022-09-16,71.12,14.02,10.08,2.52,0.26,9.84,18.29
2022-09-17,66.38,11.9,15.49,3.1,0.01,7.12,18.13
2022-09-18,70.62,12.61,16.48,2.78,0.0,5.89,20.13
2022-09-19,70.06,12.9,14.31,2.05,0.01,6.92,19.46
2022-09-20,74.75,12.76,11.47,1.62,0.01,6.93,18.7
2022-09-21,69.81,12.94,16.61,1.83,0.03,7.37,20.01
2022-09-22,58.19,13.9,16.88,1.14,0.0,5.72,21.17
2022-09-23,59.62,15.09,10.28,1.14,0.1,10.17,20.13
2022-09-24,80.69,14.57,7.78,1.22,3.34,11.87,17.74
2022-09-25,74.94,13.42,11.29,2.93,0.3,8.97,18.88
2022-09-26,79.38,12.24,6.95,4.22,7.82,9.02,16.46
2022-09-27,81.38,12.24,8.74,3.66,2.93,8.65,16.54
2022-09-28,77.25,11.56,9.6,1.87,0.65,7.6,16.46
2022-09-29,75.5,10.79,8.05,0.9,1.45,6.92,15.42
2022-09-30,70.25,12.13,13.92,2.65,3.43,5.76,18.57
2022-10-01,77.5,16.19,9.1,4.8,5.21,11.44,20.69
2022-10-02,91.0,14.79,7.56,2.77,8.58,8.94,19.12
2022-10-03,80.06,11.65,8.98,1.46,0.12,7.37,18.14
2022-10-04,77.81,12.27,13.23,2.08,0.07,6.08,20.19
2022-10-05,76.62,15.31,13.13,4.24,0.42,8.75,22.23
2022-10-06,70.88,13.73,14.82,1.4,0.04,8.01,19.29
2022-10-07,67.75,11.98,13.23,1.52,0.01,5.34,19.48
2022-10-08,75.19,11.9,13.35,1.96,0.13,6.93,18.54
2022-10-09,75.56,11.15,14.54,2.24,0.0,4.15,19.65
2022-10-10,84.88,13.47,7.17,2.78,0.15,7.66,20.73
2022-10-11,71.94,11.05,11.26,2.38,0.0,6.8,17.97
2022-10-12,79.56,12.58,11.35,1.41,0.03,6.68,19.64
2022-10-13,85.81,13.73,5.45,3.26,3.36,10.67,17.21
2022-10-14,92.94,14.95,3.61,2.51,4.74,12.84,17.73
2022-10-15,81.38,16.27,6.61,3.69,2.51,13.2,20.72
2022-10-16,84.88,16.67,7.67,2.52,2.52,12.59,21.97
2022-10-17,92.69,16.83,3.4,2.62,7.72,15.2,18.73
2022-10-18,89.19,16.75,6.53,1.75,1.95,13.69,21.56
2022-10-19,84.81,16.99,10.36,3.99,0.23,13.14,23.03
2022-10-20,86.69,17.34,9.7,3.44,9.94,14.5,22.31
2022-10-21,85.44,16.44,8.79,3.77,5.2,13.14,21.15
2022-10-22,83.44,15.65,10.57,2.91,0.07,10.94,21.31
2022-10-23,72.88,17.94,5.77,5.02,0.44,14.48,23.36
2022-10-24,78.44,15.62,7.34,5.35,0.82,12.35,19.06
2022-10-25,82.81,14.94,8.04,3.15,1.26,11.2,19.64
2022-10-26,84.62,16.19,10.34,3.47,0.03,12.13,22.0
2022-10-27,80.25,17.59,6.91,3.84,0.12,13.12,24.15
2022-10-28,82.31,17.76,7.08,3.02,0.01,14.91,22.9
2022-10-29,77.12,17.58,6.83,3.12,0.0,14.87,22.41
2022-10-30,91.38,14.87,6.95,1.53,0.6,12.55,19.24
2022-10-31,86.75,16.12,7.81,3.18,3.92,12.41,21.23
2022-11-01,75.25,13.67,9.08,5.55,0.19,9.37,17.59
2022-11-02,81.81,11.7,8.15,3.72,0.13,8.18,15.7
2022-11-03,89.25,10.84,2.18,4.41,4.79,7.78,15.14
2022-11-04,87.38,8.9,5.11,3.29,2.26,3.9,13.01
2022-11-05,85.31,8.02,5.18,2.98,0.08,3.87,12.66
2022-11-06,87.88,7.65,1.93,4.3,6.05,5.08,10.14
2022-11-07,88.88,11.9,4.75,4.81,0.25,9.03,16.95
2022-11-08,87.5,12.19,5.05,4.92,0.33,8.78,15.96
2022-11-09,89.62,11.13,5.87,3.55,0.36,6.86,15.37
2022-11-10,92.19,8.69,4.94,2.48,0.07,6.62,14.11
2022-11-11,93.5,8.12,5.3,2.39,0.09,6.06,12.47
2022-11-12,93.44,9.76,7.12,2.01,0.15,7.15,16.15
2022-11-13,87.12,8.22,6.17,1.79,0.05,3.08,15.48
2022-11-14,93.75,8.4,5.48,2.31,0.11,2.86,15.16
2022-11-15,95.5,9.21,2.17,4.11,5.39,6.8,12.71
2022-11-16,91.62,10.26,3.74,5.61,7.35,7.21,13.31
2022-11-17,85.19,10.98,4.52,5.67,3.15,8.14,13.75
2022-11-18,92.31,8.44,4.21,3.3,1.06,5.18,11.9
2022-11-19,91.38,7.23,4.49,1.94,0.77,4.83,11.51
2022-11-20,92.06,5.8,3.02,3.65,2.11,2.4,9.74
2022-11-21,92.81,5.68,2.0,4.22,3.31,2.99,7.22
2022-11-22,86.69,7.22,4.38,5.59,3.8,3.0,10.55
2022-11-23,91.56,7.51,3.45,4.79,7.43,3.87,12.41
2022-11-24,91.75,8.98,5.77,4.66,1.2,7.19,12.08
2022-11-25,94.88,7.21,5.03,2.65,0.9,3.01,11.94
2022-11-26,92.38,5.62,2.88,2.94,0.04,2.49,9.08
2022-11-27,83.06,5.82,2.47,3.8,7.67,3.3,8.37
2022-11-28,95.5,7.2,3.78,2.15,2.34,5.71,9.83
2022-11-29,93.69,6.71,3.08,0.55,0.19,5.33,8.58
2022-11-30,94.06,4.95,2.45,2.18,0.11,3.57,6.59
2022-12-01,90.25,4.48,2.36,3.13,0.15,2.8,7.9
2022-12-02,91.31,3.13,1.63,3.12,0.93,1.37,5.76
2022-12-03,91.56,1.07,1.81,3.3,0.17,-1.04,5.18
2022-12-04,89.88,1.15,1.66,2.69,1.52,-0.78,3.3
2022-12-05,91.69,1.0,1.48,1.08,1.87,-1.07,3.37
2022-12-06,96.94,1.44,1.7,1.04,0.15,-1.61,4.52
2022-12-07,95.75,3.07,2.98,1.1,0.29,1.3,5.48
2022-12-08,94.19,1.61,2.13,1.01,0.39,-0.35,3.63
2022-12-09,94.88,-0.22,3.71,1.46,0.18,-1.71,2.9
2022-12-10,91.5,-1.1,3.48,1.23,0.06,-3.77,3.88
2022-12-11,92.25,-2.72,2.55,2.42,0.05,-4.53,0.94
2022-12-12,83.06,-2.52,3.25,2.91,0.42,-4.27,0.92
2022-12-13,79.31,-2.83,4.93,3.2,0.0,-4.42,0.5
2022-12-14,85.69,-1.46,2.83,1.93,1.34,-3.38,1.06
2022-12-15,89.56,-3.04,4.19,3.17,0.03,-5.92,1.37
2022-12-16,95.94,-2.3,4.24,2.12,0.09,-4.52,2.36
2022-12-17,93.56,-5.17,3.53,1.7,0.07,-7.48,-0.46
2022-12-18,91.12,-2.97,2.67,3.88,6.3,-8.17,4.23
2022-12-19,99.06,5.04,2.3,4.61,1.84,3.24,7.48
2022-12-20,98.62,7.51,1.5,3.98,9.11,5.15,9.97
2022-12-21,97.12,8.47,2.58,3.73,6.31,5.44,10.74
2022-12-22,94.62,10.73,1.73,5.17,9.25,9.99,11.73
2022-12-23,94.31,11.62,1.73,4.7,5.13,9.65,14.56
2022-12-24,96.44,9.16,2.22,3.07,0.61,7.98,11.31
2022-12-25,93.81,9.74,2.49,3.62,2.38,7.61,12.7
2022-12-26,90.19,7.48,2.29,3.87,1.21,2.95,11.33
2022-12-27,91.06,5.01,4.54,3.51,0.13,2.75,8.94
2022-12-28,92.06,9.36,2.51,6.87,3.39,7.03,10.98
2022-12-29,87.75,8.47,3.6,5.29,1.78,4.75,11.33
2022-12-30,93.81,9.87,1.42,6.68,4.51,4.73,14.07
2022-12-31,82.19,12.98,3.08,7.13,0.58,10.84,15.65
2023-01-01,88.62,10.98,1.0,4.48,4.52,9.95,12.68
2023-01-02,91.75,8.74,2.58,3.14,5.81,4.61,11.68
2023-01-03,95.0,6.4,2.77,4.24,1.36,5.26,7.61
2023-01-04,93.25,10.73,1.28,6.18,2.07,8.12,12.95
2023-01-05,93.19,11.13,2.29,3.7,0.87,9.3,13.73
2023-01-06,92.5,9.69,2.87,4.21,0.22,7.8,12.33
2023-01-07,87.94,7.5,3.49,5.33,1.09,4.63,10.27
2023-01-08,92.06,7.94,3.9,5.05,4.04,5.37,10.43
2023-01-09,91.75,5.84,2.88,5.52,2.4,2.93,8.15
2023-01-10,95.75,6.63,1.58,5.18,3.45,3.05,10.93
2023-01-11,87.31,9.29,4.66,5.34,3.66,7.12,11.21
2023-01-12,91.19,9.4,2.17,6.92,1.99,7.25,11.14
2023-01-13,87.19,7.88,4.57,5.09,1.12,5.43,10.78
2023-01-14,92.88,9.14,1.2,6.72,12.42,5.39,12.04
2023-01-15,86.25,6.13,5.13,6.1,2.09,4.36,8.49
2023-01-16,91.44,4.11,2.26,6.1,9.07,0.39,6.12
2023-01-17,92.31,1.21,1.83,2.62,0.97,-1.38,4.87
2023-01-18,92.56,0.11,6.45,2.17,0.23,-4.13,4.67
2023-01-19,95.69,0.56,2.16,1.73,0.65,-1.6,3.49
2023-01-20,91.81,1.83,3.24,2.97,0.52,-2.2,5.93
2023-01-21,88.25,-0.1,4.79,4.08,0.12,-2.99,4.01
2023-01-22,86.75,-1.09,2.73,3.07,0.06,-3.09,2.53
